ResponseId,LanguageHaveWorkedWith
6892,HTML/CSS;JavaScript
38513,APL;Assembly;Bash/Shell;C;C#;C++;COBOL;Crystal;Dart;Delphi;Erlang;F#;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;LISP;Lua;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;SAS;SQL;Swift;TypeScript;VBA
43640,PHP
43691,C++;HTML/CSS;JavaScript;PHP;TypeScript
23224,C#;HTML/CSS;SQL
6243,HTML/CSS;JavaScript;SAS;TypeScript
2449,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Rust
49274,Assembly;C#;HTML/CSS;JavaScript;SQL;TypeScript
55666,C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;SQL;VBA
5465,APL
3887,Bash/Shell;C;C#;C++;JavaScript;Perl;PHP;Python;SQL
6777,Bash/Shell;HTML/CSS;JavaScript;Python;R;SQL
17470,HTML/CSS;JavaScript;PHP;R;Rust;SAS;SQL;TypeScript
2738,Assembly;Bash/Shell;C;C#;C++;Java;JavaScript;Kotlin;TypeScript;VBA
67667,HTML/CSS;Java;JavaScript;PHP;SQL
60626,Assembly;COBOL
10234,
56189,
67566,APL
28435,HTML/CSS;JavaScript;Python
60147,C;C++;Java;JavaScript;PHP;Python;SQL
61936,Bash/Shell;C++;Java;Kotlin;Objective-C;Python;SQL;Swift
13852,Bash/Shell;C;C++;Java;Objective-C;Python
61768,Bash/Shell;C#;C++;JavaScript;Python;SQL
33429,Dart;HTML/CSS;JavaScript;Python;SQL
53961,HTML/CSS;JavaScript;PHP;SQL;TypeScript
46026,APL;Assembly;Bash/Shell;C;C#;C++;Clojure;COBOL;Crystal;Dart;Delphi;Elixir;Erlang;F#;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;LISP;Lua;MATLAB;OCaml;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;SAS;Scala;Solidity;SQL;Swift;TypeScript;VBA
55310,Dart;Go;Java;JavaScript;Lua;Rust;SQL;TypeScript
60650,Assembly;C#;C++;HTML/CSS;Java;JavaScript;Python;R
71716,Assembly;C;C#;C++;F#;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;PowerShell;Python;SQL
4503,JavaScript;Lua;Python
48960,Bash/Shell;JavaScript;PowerShell;Python
70466,Objective-C
33329,Assembly;C#;C++;Java;JavaScript;Perl;SQL;TypeScript
55394,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Python
56356,APL
34044,Bash/Shell;C#;HTML/CSS;JavaScript;Lua;PowerShell;Rust
22877,HTML/CSS;JavaScript;SQL;TypeScript
26618,C;C#;C++;Dart;HTML/CSS;Java;Kotlin;PHP;SQL;Swift;TypeScript
15608,HTML/CSS;JavaScript;Python;TypeScript
25963,C;C++
46423,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL
3642,Dart;HTML/CSS;Java;JavaScript
10911,C;Go;Python
30851,HTML/CSS;Java;PHP
60517,C;HTML/CSS;Java;Python
8891,HTML/CSS;Java;JavaScript;PHP
56267,
51189,APL
64907,C;C++;Dart;HTML/CSS;Java;JavaScript;Ruby;Swift;TypeScript
3776,JavaScript
69400,Assembly;Go;TypeScript
7945,C;C++;Haskell;Rust;Swift
32133,C++;Java
30041,C;C#;HTML/CSS;JavaScript;Python
28583,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL
1960,C;C++;Rust;SQL
24813,C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
21766,Bash/Shell;HTML/CSS;JavaScript;Lua;Perl;PHP;Python;SQL;VBA
58078,C#;HTML/CSS;PHP;SQL;VBA
17039,JavaScript;PHP;TypeScript
61618,JavaScript;PHP
29705,C;HTML/CSS;JavaScript;PHP;Python;SQL
19202,
23162,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
42123,APL;Bash/Shell;C
42871,HTML/CSS;JavaScript;TypeScript
51548,
69587,Clojure;Crystal;Java;LISP;Lua;Objective-C;PHP;PowerShell;Python;R;Rust;SAS;Scala;SQL;Swift;VBA
33980,Python
48376,C#;HTML/CSS;JavaScript;SQL;TypeScript
8054,Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL
24581,Java;Kotlin;SQL
25179,Bash/Shell;HTML/CSS;JavaScript;PHP
23139,HTML/CSS;Java;JavaScript;SQL
42517,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL
21147,Java;SQL
12748,Go;Python
5622,HTML/CSS;JavaScript
56883,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript
33423,JavaScript;Python
7569,C;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
72371,Bash/Shell;Go;HTML/CSS;JavaScript;PowerShell;Python;TypeScript
49362,HTML/CSS;JavaScript;Python;TypeScript
19216,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
35598,Java;Kotlin
43559,HTML/CSS;JavaScript;SQL;TypeScript
21212,Java;Python;TypeScript
35056,Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Swift;TypeScript
9519,Bash/Shell;Go;PHP
34050,C#;Java;TypeScript
18462,HTML/CSS;JavaScript;TypeScript
17275,Assembly;C#;C++;HTML/CSS;Java;JavaScript;SQL;VBA
68320,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript
68078,HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript
52768,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript
14027,APL;Assembly;Bash/Shell;C;C#;C++;Clojure;COBOL;Crystal;Dart;Delphi;Elixir;Erlang;F#;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;LISP;Lua;MATLAB;OCaml;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;SAS;Scala;Solidity;SQL;Swift;TypeScript;VBA
60812,HTML/CSS;Java
29793,C#
36239,C#;HTML/CSS;JavaScript;SQL
65213,C;C#;Java
65421,C#;C++;Java;JavaScript;PowerShell;SQL
57991,C++
23694,C#;C++
33467,C;HTML/CSS;Java;JavaScript
9650,C#;HTML/CSS;Java;JavaScript;SQL
66018,HTML/CSS;JavaScript;Python;SQL
19864,HTML/CSS;JavaScript;PHP
53227,C++;HTML/CSS;PowerShell
7679,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript
10347,HTML/CSS;Java;JavaScript;TypeScript
68850,C;C#;C++;Erlang;HTML/CSS;Java;JavaScript;Python;SQL
21121,C++;HTML/CSS;Java;JavaScript;PHP;SQL
58291,Bash/Shell;C;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL
40659,HTML/CSS;Java;JavaScript;PHP;SQL
43538,HTML/CSS;PHP;SQL
42875,C#;Java;SQL
5832,Java
72923,Go;Perl;Python;SQL
68973,C++;HTML/CSS;Java
25126,Assembly;Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
23213,HTML/CSS;JavaScript;PHP;Python
34219,
44382,JavaScript;PHP;SQL;TypeScript
21056,
67962,
32301,C++;Python
63271,JavaScript
6714,C;Go;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL;TypeScript
30329,HTML/CSS;JavaScript
6267,C++;HTML/CSS;JavaScript;MATLAB;PHP;SQL
19841,JavaScript;PHP
50862,HTML/CSS;JavaScript;TypeScript
11327,HTML/CSS;JavaScript;Python;SQL
54773,Delphi;HTML/CSS;JavaScript;PHP;SQL
68884,C++;HTML/CSS;Java;JavaScript;Lua;Python
44970,Java;JavaScript;TypeScript
21828,C;Python;SQL
66583,HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;Ruby;SQL
20705,HTML/CSS;JavaScript;Python
24368,C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL
23355,C;C#;C++;HTML/CSS;Java;JavaScript;Python;R;SQL
38796,Assembly;C;C++;HTML/CSS;Java;OCaml;PHP;Python;SQL
36347,C;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL
43442,C#;HTML/CSS;JavaScript;Kotlin;PHP
38110,Dart;Python
42728,HTML/CSS;Java;JavaScript;TypeScript
36738,APL;Assembly;Bash/Shell;C;C++;Dart;Java;JavaScript;Python;Scala
1454,Dart;HTML/CSS;JavaScript;MATLAB;Python;Rust
25583,Dart;HTML/CSS;Python;SQL
26424,Assembly;C;Dart;HTML/CSS;Java;JavaScript;PHP;SQL
25538,Delphi
23858,Assembly;Bash/Shell;C;MATLAB;Python
56379,Bash/Shell;C;PowerShell;Python
19903,Delphi;SQL
53209,C;Java;JavaScript;Swift
23706,HTML/CSS;JavaScript
64554,C;C++;Delphi;Go
68462,C++;Delphi;HTML/CSS;SQL
59270,Bash/Shell;JavaScript;PowerShell;Python
11295,Python;Rust
56231,HTML/CSS;JavaScript
38378,APL;HTML/CSS;Java;Python
41373,C;Rust
5018,Rust;SQL
2774,Python;Rust
11700,HTML/CSS;JavaScript;TypeScript
65444,C#;SQL
63823,Bash/Shell;C;C++;PowerShell;Solidity;TypeScript
49967,HTML/CSS;JavaScript;Python;TypeScript
65562,C++;Java;Python
41340,C;C#;C++;Dart;Elixir;Go;HTML/CSS;JavaScript;Solidity;TypeScript
60799,Java
26587,HTML/CSS;JavaScript;PHP
61347,Fortran
5871,HTML/CSS;Java;JavaScript;OCaml;PHP
